Cancer Type,Sentence
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.18333333730697632 AND SNP_event > 832.5 AND chr_16 is 0 AND Diagnosis Age > 55.5 AND Protein_position > 529.5 AND chr_22 is 0 AND End_Position <= 77239220.0 AND Codons <= 1998.0 AND Exon_Number > 641.5 AND Hugo_Symbol <= 201.5, then the class is Extrahepatic Cholangiocarcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.18333333730697632 AND SNP_event > 832.5 AND chr_16 is 0 AND Diagnosis Age > 55.5 AND Protein_position > 529.5 AND chr_22 is 0 AND End_Position <= 77239220.0 AND Codons <= 1998.0 AND Hugo_Symbol > 201.5 AND Exon_Number > 641.5, then the class is Pancreatic Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position <= 77239220.0 AND chr_14 is 0 AND Codons <= 2681.0, then the class is Esophageal Carcinoma."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Codons > 2681.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position <= 77239220.0 AND chr_14 is 0, then the class is Intrahepatic Cholangiocarcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Codons > 1998.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position <= 77239220.0 AND chr_14 is 1, then the class is Non Small Cell Lung Cancer."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position <= 121587400.0 AND SNP_event <= 1269.0 AND TMB (nonsynonymous) <= 0.18333333730697632 AND chr_15 is 0, then the class is Liver Hepatocellular Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position <= 121587400.0 AND SNP_event <= 1269.0 AND TMB (nonsynonymous) <= 0.18333333730697632 AND chr_15 is 1, then the class is Pancreatic Cancer."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.18333333730697632 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position <= 121587400.0 AND SNP_event <= 1269.0, then the class is Liver Hepatocellular Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 1269.0 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position <= 121587400.0, then the class is Pancreatic Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number <= 475.5 AND TMB (nonsynonymous) <= 0.21666666865348816, then the class is Esophageal Carcinoma."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.21666666865348816 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number <= 449.0, then the class is Intrahepatic Cholangiocarcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.21666666865348816 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number > 449.0, then the class is Extrahepatic Cholangiocarcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number > 475.5 AND chr_5 is 0 AND chr_10 is 0 AND chr_7 is 0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number > 475.5 AND chr_5 is 0 AND chr_10 is 0 AND chr_7 is 1, then the class is Colorectal Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number > 475.5 AND chr_5 is 0 AND chr_10 is 1, then the class is Pancreatic Cancer."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number > 475.5 AND chr_5 is 1 AND Protein_position <= 541.5, then the class is Pancreatic Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Diagnosis Age > 55.5 AND Protein_position > 541.5 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number > 475.5 AND chr_5 is 1 AND Codons <= 1441.0, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 227.5 AND chr_16 is 0 AND Codons > 1441.0 AND Diagnosis Age > 55.5 AND Protein_position > 541.5 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Exon_Number > 475.5 AND chr_5 is 1, then the class is Liver Hepatocellular Carcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Hugo_Symbol <= 256.0, then the class is Non Small Cell Lung Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Hugo_Symbol > 256.0 AND Protein_position <= 589.0, then the class is Esophageal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND chr_16 is 0 AND Codons > 837.0 AND Diagnosis Age > 55.5 AND Protein_position > 589.0 AND chr_22 is 0 AND End_Position > 77239220.0 AND Start_Position > 121587400.0 AND Hugo_Symbol > 256.0, then the class is Liver Hepatocellular Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Codons > 594.5 AND Diagnosis Age > 55.5 AND Protein_position > 377.0 AND chr_22 is 1, then the class is Esophageal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 3006.0 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Hugo_Symbol <= 288.5 AND chr_16 is 0 AND Codons > 594.5, then the class is Gastric Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 12.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Codons <= 3314.5 AND Hugo_Symbol <= 288.5 AND chr_16 is 1, then the class is Esophageal Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND Diagnosis Age <= 55.5 AND SNP_event > 832.5 AND Codons <= 1596.0 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND TMB (nonsynonymous) <= 0.18333333730697632, then the class is Pancreatic Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Codons <= 1596.0 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND Exon_Number <= 301.5 AND Diagnosis Age <= 57.5, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Codons <= 1596.0 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND Diagnosis Age > 57.5 AND Exon_Number <= 301.5, then the class is Colorectal Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Codons <= 606.0 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND Exon_Number > 301.5 AND Diagnosis Age <= 58.5, then the class is Pancreatic Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Codons <= 606.0 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND Diagnosis Age > 58.5 AND Exon_Number > 301.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND Diagnosis Age > 55.5 AND Exon_Number > 301.5 AND Codons > 606.0, then the class is Colorectal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Codons <= 602.0 AND Protein_position <= 1305.5 AND Start_Position <= 2125534.5, then the class is Gastric Cancer."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Codons <= 602.0 AND Protein_position <= 1305.5 AND Start_Position > 2125534.5, then the class is Liver Hepatocellular Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Protein_position <= 230.0 AND Start_Position <= 7578237.5 AND Codons > 602.0 AND End_Position <= 4436630.5, then the class is Pancreatic Cancer."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Protein_position <= 230.0 AND Start_Position <= 7578237.5 AND Codons > 602.0 AND End_Position > 4436630.5, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Start_Position <= 7578237.5 AND Protein_position > 230.0 AND Codons <= 738.5 AND TMB (nonsynonymous) <= 0.21666666865348816, then the class is Colorectal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.21666666865348816 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Start_Position <= 7578237.5 AND Protein_position > 230.0 AND Codons <= 738.5, then the class is Extrahepatic Cholangiocarcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Start_Position <= 7578237.5 AND Codons > 738.5 AND Protein_position > 230.0, then the class is Colorectal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND SNP_event > 832.5 AND Codons <= 839.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND Diagnosis Age > 57.5 AND End_Position <= 7577116.5, then the class is Esophageal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND Diagnosis Age > 57.5 AND End_Position <= 7577116.5 AND Codons > 839.5, then the class is Gastric Cancer."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND SNP_event > 832.5 AND Codons <= 1596.0 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND Diagnosis Age > 57.5 AND End_Position <= 7577339.0, then the class is Intrahepatic Cholangiocarcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND SNP_event > 832.5 AND Codons <= 1596.0 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND Diagnosis Age > 57.5 AND End_Position > 7577339.0, then the class is Pancreatic Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND Codons > 1596.0 AND chr_17 is 0, then the class is Gastric Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND Codons > 1596.0 AND chr_17 is 1, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND Diagnosis Age <= 55.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND synonymous_variant is 0 AND Codons <= 2351.0 AND TMB (nonsynonymous) <= 0.18333333730697632, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND synonymous_variant is 0 AND Codons <= 2351.0 AND TMB (nonsynonymous) <= 0.18333333730697632 AND Diagnosis Age > 55.5, then the class is Colorectal Carcinoma."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND synonymous_variant is 0 AND Codons <= 2351.0 AND TMB (nonsynonymous) <= 0.18333333730697632 AND Diagnosis Age > 56.5, then the class is Intrahepatic Cholangiocarcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND synonymous_variant is 0 AND Codons <= 2351.0, then the class is Non Small Cell Lung Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND synonymous_variant is 0 AND Codons <= 1998.0 AND Diagnosis Age <= 58.5, then the class is Colorectal Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND synonymous_variant is 0 AND Diagnosis Age <= 58.5 AND Codons > 1998.0, then the class is Pancreatic Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND synonymous_variant is 0 AND Codons <= 2351.0 AND Diagnosis Age > 58.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND Codons > 2351.0 AND synonymous_variant is 0, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position <= 7578237.5 AND Codons > 1992.0 AND synonymous_variant is 1, then the class is Liver Hepatocellular Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Codons <= 609.5 AND Protein_position <= 125.0 AND chr_18 is 0 AND Start_Position <= 30723113.0, then the class is Esophageal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Codons <= 609.5 AND chr_18 is 0 AND Start_Position <= 30723113.0 AND Protein_position > 125.0, then the class is Gastric Cancer."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Start_Position <= 7578458.0 AND Codons <= 1425.0, then the class is Pancreatic Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Codons <= 1425.0 AND Start_Position > 7578458.0, then the class is Gastric Cancer."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Start_Position <= 7578522.5 AND Codons > 1425.0, then the class is Intrahepatic Cholangiocarcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Codons <= 1958.5 AND Start_Position > 7578522.5 AND chr_12 is 0 AND frameshift_variant is 0, then the class is Extrahepatic Cholangiocarcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Codons <= 1958.5 AND Start_Position > 7578522.5 AND chr_12 is 0 AND frameshift_variant is 1, then the class is Colorectal Carcinoma."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Codons <= 1958.5 AND Start_Position > 7578522.5 AND chr_12 is 1, then the class is Intrahepatic Cholangiocarcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND Diagnosis Age <= 57.0 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Start_Position <= 30723113.0 AND Codons > 1958.5 AND TMB (nonsynonymous) <= 0.18333333730697632, then the class is Colorectal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Start_Position <= 30723113.0 AND Codons > 1958.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND Diagnosis Age > 57.0, then the class is Esophageal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.18333333730697632 AND Diagnosis Age <= 57.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Start_Position <= 30723113.0 AND Codons > 1958.5, then the class is Gastric Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Start_Position <= 30723113.0 AND Codons > 1958.5 AND Diagnosis Age > 57.5 AND TMB (nonsynonymous) <= 0.21666666865348816, then the class is Gastric Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.21666666865348816 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND chr_18 is 0 AND Start_Position <= 30723113.0 AND Codons > 1958.5 AND Diagnosis Age > 57.5, then the class is Esophageal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Codons <= 572.5 AND Protein_position <= 1305.5 AND Start_Position > 30723113.0 AND chr_18 is 0 AND chr_13 is 0, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position > 30723113.0 AND chr_18 is 0 AND chr_13 is 0 AND Codons > 572.5, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 288.5 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Codons <= 601.5 AND Protein_position <= 1305.5 AND Start_Position > 30723113.0 AND chr_18 is 0 AND chr_13 is 1, then the class is Liver Hepatocellular Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Diagnosis Age <= 59.5 AND Protein_position <= 1305.5 AND Start_Position > 30723113.0 AND chr_18 is 0 AND Codons > 601.5 AND Hugo_Symbol <= 335.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND End_Position <= 178926416.0 AND SNP_event <= 1050.5, then the class is Pancreatic Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Diagnosis Age <= 59.5 AND SNP_event > 1050.5 AND Protein_position <= 1305.5 AND Start_Position > 30723113.0 AND chr_18 is 0 AND Codons > 601.5 AND Hugo_Symbol <= 335.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND End_Position <= 178926416.0 AND chr_7 is 0, then the class is Gastric Cancer."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Diagnosis Age <= 59.5 AND SNP_event > 1050.5 AND Protein_position <= 1305.5 AND Start_Position > 30723113.0 AND chr_18 is 0 AND Codons > 601.5 AND Hugo_Symbol <= 335.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND End_Position <= 178926416.0 AND chr_7 is 1, then the class is Pancreatic Cancer."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Diagnosis Age <= 59.5 AND SNP_event > 832.5 AND Protein_position <= 1305.5 AND Start_Position > 30723113.0 AND chr_18 is 0 AND Codons > 601.5 AND Hugo_Symbol <= 335.5 AND TMB (nonsynonymous) <= 0.18333333730697632 AND End_Position > 178926416.0, then the class is Liver Hepatocellular Carcinoma."
